Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"In your Company you used to secure VMs with the standard GCP way, with the Compute Engine configuration of persistent SSH key metadata. But a new compliance rule now states that all the cryptographic keys for Linux instances must be locally produced. Is it possible to do that in GCP? How?",multi-select,Generate a new SSH key with ssh-keygen,,Ask GCP for a new SSH key,,Prepare public SSH key files and store them in Cloud Storage,,Prepare public SSH key files and setup SSH key metadata,,Manage Instance and User Permissions,,Give public permission to the Users,,"1,4,5","Correct answers: A, D, E In order to produce locally cryptographic keys you have to use ssh-keygen and then set up correctly private and public key as pointed out in the documentation. GCP stores public key in metadata so that you can use IAM to manage User controlled access. B is wrong because the cryptographic keys have to be produce locally C is wrong because is not secure to store them in Cloud Storage and it is hard to manage F is wrong because it drives to the opposite security direction. For any further detail: https://cloud.google.com/compute/docs/instances/connecting-to-instance https://cloud.google.com/compute/docs/instances/adding-removing-ssh-keys | https://cloud.google.com/compute/docs/instances/connecting-to-instance: https://cloud.google.com/compute/docs/instances/connecting-to-instance | https://cloud.google.com/compute/docs/instances/adding-removing-ssh-keys: https://cloud.google.com/compute/docs/instances/adding-removing-ssh-keys",
"In your Company you used to secure VMs with the standard GCP way, with the Compute Engine configuration of persistent SSH key metadata. But a new compliance rule now states that all the users must undergo stricter security with two-factor authentication. Is it possible to do that in GCP? How?",multiple-choice,Use OS Login,,Use locally generated SSH keys in metadata,,Use Temporarily user access to instances,,In GCP it is not possible to have two-factor authentication,,,,,,1,"Correct answers: A The OS Login is the standard feature for GCP that allows to use Compute Engine IAM roles to manage SSH access to Linux instances. It is possible and easy to add an extra layer of security by setting up OS Login with two-factor authentication, and manage access at the organization level by setting up organization policies. What you have to do is: Enable 2FA for your Google account or domain. Enable 2FA on your project or instance. Grant the necessary IAM roles to the correct users . For any further detail: https://cloud.google.com/compute/docs/oslogin/setup-two-factor-authentication | https://cloud.google.com/compute/docs/oslogin/setup-two-factor-authentication: https://cloud.google.com/compute/docs/oslogin/setup-two-factor-authentication",
"It is necessary to migrate in Cloud GCP a REST API developed with Java 7 and mySQL, which currently works on-premises. The system may be subject to strong demand peaks and must always be available and have good performances. Furthermore, it is necessary to minimize costs. The system must be organized to be scalable and avoid any SPF: Single Point of Failures. Which of these solutions can be adopted for the database server?",multi-select,Use GKE,,Use a Managed Cloud SQL service,,Create and manage a Replica of the muSQL DB,,Create daily DB Snapshots,,Use a noSql Database,,,,"1,2","In order to avoid any SPF: Single Point of Failures, you have to use a managed Database Service or manage a Replica. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a20_.png | https://skillcertpro.com/wp-content/uploads/2020/08/a20_.png | Cloud SQL is a managed mySQL Service that handles High Availability and Failover out of the box. The alternative solution is to create transactional or merge db replicas. A transactional replica keep in synch Databases at transaction level. A merge replica keep in synch Databases at checkpoint times. For any further detail: https://cloud.google.com/sql/docs/mysql/ https://en.wikipedia.org/wiki/Distributed_database | https://cloud.google.com/sql/docs/mysql/: https://cloud.google.com/sql/docs/mysql/ | https://en.wikipedia.org/wiki/Distributed_database: https://en.wikipedia.org/wiki/Distributed_database",
"It is necessary to migrate in Cloud GCP a REST API developed with Java 7, which currently works on-premises. The system may be subject to strong demand peaks and must always be available and have good performances. Furthermore, it is necessary to minimize costs. The system must be organized to be scalable and avoid any SPF: Single Point of Failures. Which of these solutions is the best for Application Server? How do you integrate the calculation procedure?",multiple-choice,Use a Managed instance groups,,Load Balancer,,Use GKE,,App Engine Standard,,,,,,1,"Google Kubernetes Engine (GKE) is a managed, production-ready environment for deploying containerized applications. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a18-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a18-1.png | Kubernetes provides: automatic management, monitoring and liveness probes for application containers, automatic scaling, rolling updates. Managed instance groups (MIGs) let you operate apps on multiple identical VMs. You can make your workloads scalable and highly available by taking advantage of automated MIG services, including: autoscaling, autohealing, regional (multiple zone) deployment, and automatic updating. Managed instance groups need load balancing services to distribute traffic across all of the instances in the group. A and B are not correct because are both needed for a scalable and ha (high availability) solution and it is more resource intensive than a managed Kubernetes solution with GKE. D is wrong because App Engine Standard Environment is a PaaS that hosts and scales application in a secure, sandboxed environment with standard technologies and versions and Java 7 is not supported., allowing the App Engine standard environment to distribute requests across multiple servers, and scaling servers to meet traffic demands. Your application runs within its own secure, reliable environment that is independent of the hardware, operating system, or physical location of the server. For any further detail: https://cloud.google.com/kubernetes-engine/ https://cloud.google.com/compute/docs/instance-groups/ https://cloud.google.com/appengine/docs/standard/ | https://cloud.google.com/kubernetes-engine/: https://cloud.google.com/kubernetes-engine/ | https://cloud.google.com/compute/docs/instance-groups/: https://cloud.google.com/compute/docs/instance-groups/ | https://cloud.google.com/appengine/docs/standard/: https://cloud.google.com/appengine/docs/standard/",
"The field agents of your company have to send via mobile devices CSV files containing orders and data concerning their activity. The various files have as destination a set of Cloud Storage buckets. You management asked you to create a system that loads these data into Bigquery in real-time, in a quick and affordable way. The target tables are already structured for the purpose. Which of the following is the best method?",multiple-choice,"Schedule a cloud function that moves files into a work bucket, process CSVs and, at the end, archive the processed files. All using the Cloud Storage livecycle.",,"Use The Cloud Storage Text to BigQuery (Stream) pipeline that allows to stream text files stored in Cloud Storage, transform them using JavaScript into User Defined Function (UDF) that you provide, and output the result to BigQuery",,"Write a Cloud Function to react to CSV file upload to Cloud Storage, read content and use it to update to Google Sheet using the Sheets API.",,Use Google Cloud Storage Triggers to activate a Cloud Function Trigger that perform the data Transfer,,,,,,2,"Correct Answer B This pipeline is a ready and optimized procedure that reliably can manage and execute all the process. So there is nothing to code, test and debug apart a very little and standard User Defined Function in order to comply with the structure of your tables. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a7-2.png | https://skillcertpro.com/wp-content/uploads/2020/08/a7-2.png | The other solutions are far more complicated. Option C perform actions that are not required, that is update to Google Sheet. For any further detail: https://cloud.google.com/blog/products/storage-data-transfer/streaming-data-from-cloud-storage-into-bigquery-using-cloud-functions https://cloud.google.com/functions/docs/calling/storage | https://cloud.google.com/blog/products/storage-data-transfer/streaming-data-from-cloud-storage-into-bigquery-using-cloud-functions: https://cloud.google.com/blog/products/storage-data-transfer/streaming-data-from-cloud-storage-into-bigquery-using-cloud-functions | https://cloud.google.com/functions/docs/calling/storage: https://cloud.google.com/functions/docs/calling/storage",
"The following statement: SELECT * FROM Clients WHERE __key__ HAS ANCESTOR KEY(ClientId, ‘default’) in which language is written and for which DB?",multiple-choice,SQL for Cloud SQL,,JSON for MongoDB,,GQL for Cloud DataStore,,HBase for Cloud Bigtable,,,,,,1,GQL is clearly similar to SQL but the clause “HAS ANCESTOR KEY” is not part of standard SQL. GQL is the query language of Cloud DataStore. A is wrong because SQL hasn’t the clause “HAS ANCESTOR KEY” B is wrong because JSON is always enclosed in brackets D is wrong because Hbase ia an API and not a declarative language. An example of HBase is: table.get(new Get(Bytes.toBytes(ClientId))); | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a25-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a25-1.png | For any further detail: https://cloud.google.com/datastore/docs/concepts/queries https://cloud.google.com/datastore/docs/concepts/queries#datastore-datastore-basic-query-gql | https://cloud.google.com/datastore/docs/concepts/queries: https://cloud.google.com/datastore/docs/concepts/queries | https://cloud.google.com/datastore/docs/concepts/queries#datastore-datastore-basic-query-gql: https://cloud.google.com/datastore/docs/concepts/queries#datastore-datastore-basic-query-gql,
"The management asked you, as project leader of the development, to prepare a plan with the organizational proposals for the migration of corporate apps to the cloud, both as development projects and as an operational strategy. What do you propose for the new organization of development?",multiple-choice,Create small groups with scrum master,,No changes: keep on consolidated methods,,Decentralize development and use offshore development,,Maintain the current organization and modernize the deployment,,,,,,1,"Correct answer: A In order to improve and modernize software development it is advisable to adopt Agile. Agile software development organized requirements and solutions through the collaborative effort of self-organizing and cross-functional teams and their customer/end user. It aims at adaptive planning, evolutionary development, early delivery, and continual improvement. Scrum is one of the most known agile process framework for managing complex knowledge work. For any further detail: https://www.scrumguides.org/scrum-guide.html | https://www.scrumguides.org/scrum-guide.html: https://www.scrumguides.org/scrum-guide.html",
"The management of your company asked you to design a static website aimed at hosting your company’s product sheets. The website must be cheap and simple to set up and manage. The site must have the corporate domain, but it does not need to be served through HTTPS. What is the optimal and more economic solution among the following?",multiple-choice,Cloud Storage,,Compute Engine,,App Engine,,Cloud Functions,,Firebase Hosting,,,,1,"Correct answer: A A Cloud Storage bucket can host a static website for a domain you own. Static web pages can contain client-side technologies such as HTML, CSS, and JavaScript. They cannot contain dynamic content such as server-side scripts like PHP. There is no additional cost beyond storage. It is possible only to serve using direct URIs such as https://storage.googleapis.com/my-bucket/my-object because when hosting a static website using a CNAME redirect, Cloud Storage only supports HTTP. In the case HTTPS serving is required, you can: Set up a load balancer. Use a third-party Content Delivery Network with Cloud Storage. Serve your static website content from Firebase Hosting instead of Cloud Storage. For any further detail: https://cloud.google.com/storage/docs/hosting-static-website | https://storage.googleapis.com/my-bucket/my-object: https://storage.googleapis.com/my-bucket/my-object | https://cloud.google.com/storage/docs/hosting-static-website: https://cloud.google.com/storage/docs/hosting-static-website",
What is a columnar Database and which is the GCP Solution?,multiple-choice,A SQL Database organized in columns instead of rows. Cloud SQL may act as a columnar Database,,A noSQL Database: Cloud Datastore,,A BigData Solution: Cloud Dataprep,,A noSQL Database: Cloud BigTable,,,,,,1,"Bigtable is a NoSQL wide-columnar database. Wide-column and petabyte-scale database store tables that can have a large and variable number of columns, that may be grouped in families. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a17-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a17-1.png | Cloud Bigtable is a sparsely populated table with 3 dimensions (row, column, time) that can scale to billions of rows and thousands of columns, enabling you to store terabytes or even petabytes of data and to access data at sub-millisecond latencies. A single value in each row is indexed; this value is known as the row key. Cloud Bigtable is ideal for storing very large amounts of single-keyed data with very low latency. It supports high read and write throughput at low latency, and it is an ideal data source for MapReduce operations. Each row is indexed by a single row key, and columns that are related to one another are typically grouped together into a column family. Each column is identified by a combination of the column family and a column qualifier, which is a unique name within the column family. Each row/column intersection can contain multiple cells, or versions, at different timestamps, providing a record of how the stored data has been altered over time. Cloud Bigtable tables are sparse; if a cell does not contain any data, it does not take up any space. Cloud Bigtable scales in direct proportion to the number of machines in your cluster without any bottleneck. A is wrong because a SQL may not act as a columnar Database, that cannot have joins, secondary indexes and multiple tables. B is wrong because Cloud Datastore is a document Database, not a columnar Database. C is wrong because Cloud Dataprep is a completely different product: a data service for visually exploring, cleaning, and preparing structured and unstructured data for analysis, reporting, and machine learning. For any further detail: https://cloud.google.com/bigtable/docs/overview https://cloud.google.com/dataprep/ | https://cloud.google.com/bigtable/docs/overview: https://cloud.google.com/bigtable/docs/overview | https://cloud.google.com/dataprep/: https://cloud.google.com/dataprep/",
"What is the difference between Blue/green deployments, Traffic-splitting deployments, Rolling deployments and Canary deployments (picks 2)?",multi-select,Canary is a Rolling and Traffic-splitting deployment,,Blue-green is a Rolling and Traffic-splitting deployment,,Canary and Blue-green let you roll back to the previous stage,,Only Canary lets you roll back to the previous stage,,,,,,"1,3","Correct answers: A, C Rolling deployments is a general technique that incrementally replaces old software with the new one. It is designed to update your workloads without downtime. Blue-green deployment lets have two production environments, as identical as possible, one old and one updated. The blue is live and you perform your final stage of testing in the green environment. Once the software is working in the green environment, you switch: the blue one is now idle and the green totally active. Canary is used to deploy in production new software versions by gradually rolling out the change to a small subgroup of users, before rolling it out to the entire platform/infrastructure and making it available to everybody. Canary deployment is like blue-green, but instead of switching from blue to green in one step, you use a phased approach. Traffic-splitting means that you have different environments and you divide the traffic among them. Any of these deployments lets you roll back to the previous stage. So, Canary is a Rolling and Traffic-splitting deployment because it is active on both versions. Blue-green is not a Traffic-splitting deployment because it is active on only 1 version. Managed deployment lets you ever roll back. For any further detail: https://cloud.google.com/solutions/continuous-delivery/ https://martinfowler.com/bliki/BlueGreenDeployment.html https://cloud.google.com/kubernetes-engine/docs/how-to/updating-apps https://cloud.google.com/appengine/docs/admin-api/migrating-splitting-traffic | https://cloud.google.com/solutions/continuous-delivery/: https://cloud.google.com/solutions/continuous-delivery/ | https://martinfowler.com/bliki/BlueGreenDeployment.html: https://martinfowler.com/bliki/BlueGreenDeployment.html | https://cloud.google.com/kubernetes-engine/docs/how-to/updating-apps: https://cloud.google.com/kubernetes-engine/docs/how-to/updating-apps | https://cloud.google.com/appengine/docs/admin-api/migrating-splitting-traffic: https://cloud.google.com/appengine/docs/admin-api/migrating-splitting-traffic",
What is the difference between Least Privilege and Separation of Duties and What is their meaning?,multiple-choice,Least Privilege means that risky operation have to be carried on by multiple people. Separation of duties dictates that any user should access separated task and resources.,,"Least Privilege dictates that any user, account, and computing process may access only those resources absolutely required to perform their work. Separation of duties is the concept of requiring that risky operation have to be carried on by multiple people.",,"Least Privilege means that users should not have enough privileges. Separation of Duties means that any operation must be performed by two accounts, at least.",,Least Privilege is supported by primitive roles. Separation of Duties is supported by predefined roles.,,,,,,1,"The principle of least privilege means users will be given access to the resources that are strictly necessary for a legitimate purpose. With Primitive roles is not possible to comply with the principle of least privilege. It is necessary to use predefined roles. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a16-2.png | https://skillcertpro.com/wp-content/uploads/2020/08/a16-2.png | Separation of duties requires that any critical task should need more than one person to complete it. Also here, you have to use predefined or custom roles. For any further detail: https://cloud.google.com/iam/docs/using-iam-securely | https://cloud.google.com/iam/docs/using-iam-securely: https://cloud.google.com/iam/docs/using-iam-securely",
What is the difference between Primitive and Predefined roles?,multiple-choice,"Primitive roles are identities with specific permissions, grouped by service; Predefined roles are are identities with a broader scope",,"Predefined roles are identities with specific permissions, grouped by service; Primitive roles are are identities with a broader scope",,Both Primitive and Predefined provide a granular access according to a user-specified list of permissions,,"Predefined roles include Owner, Editor, and Viewer and Primitive roles are more granular",,,,,,1,"Predefined roles, which provide granular access for a specific service, prevent unwanted access to other resources. and are managed by Google Cloud. For example, roles/appengine.appAdmin has Read/Write/Modify access to all application configuration and settings and includes a set of specific permissions, like : appengine.instances.*, appengine.operations.*, appengine.runtimes.*, appengine.services.* and so on. Primitive roles were used prior to IAM. There are three primitive roles: owner, editor, and viewer. Viewers have permission to perform read-only operations. Editors have viewer permissions and permission to modify an entity. Owners have editor permissions and can manage roles and permission on an entity. Owners can also set up billing for a project. IAM roles are collections of permissions. They are tailored to provide identities with just the permissions they need to perform a task and no more. To see a list of users assigned a role, click the Roles tab in the There are also Custom roles that provide a granular access according to a user-specified list of permissions, so answer C is wrong. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a15-2.png | https://skillcertpro.com/wp-content/uploads/2020/08/a15-2.png | For any further detail: https://cloud.google .com/iam/docs/understanding-roles/ | https://cloud.google: https://cloud.google",
